Country;Sex;Year;Unit;VALUE
AW;Total;1990;N;0
AW;Total;1995;N;6
AW;Total;1999;N;2
AW;Total;2001;N;4
AW;Total;2002;N;5
AW;Total;2003;N;4
AW;Total;2004;N;2
AW;Total;2005;N;6
AW;Total;2006;N;5
AW;Total;2007;N;3
AW;Total;2008;N;5
AW;Total;2009;N;4
AW;Total;2010;N;4
AW;Total;2011;N;2
AW;Total;2012;N;4
AW;Total;2013;N;6
AW;Total;2014;N;2
AF;Total;2009;N;1115
AF;Total;2010;N;983
AF;Total;2011;N;1231
AF;Total;2012;N;1948
AF;Total;2015;N;3367
AF;Total;2016;N;2318
AF;Total;2017;N;2424
AF;Total;2018;N;2474
AO;Total;2011;N;1055
AO;Total;2012;N;1217
AI;Total;1990;N;0
AI;Total;1991;N;1
AI;Total;1992;N;0
AI;Total;1993;N;1
AI;Total;1994;N;0
AI;Total;1995;N;1
AI;Total;1996;N;0
AI;Total;1997;N;1
AI;Total;1998;N;0
AI;Total;1999;N;0
AI;Total;2000;N;1
AI;Total;2001;N;0
AI;Total;2002;N;2
AI;Total;2003;N;2
AI;Total;2004;N;1
AI;Total;2005;N;0
AI;Total;2006;N;5
AI;Total;2007;N;4
AI;Total;2008;N;1
AI;Total;2009;N;1
AI;Total;2010;N;0
AI;Total;2011;N;0
AI;Total;2012;N;5
AI;Total;2013;N;1
AI;Total;2014;N;4
AL;Total;1992;N;130
AL;Total;1993;N;191
AL;Total;1994;N;112
AL;Total;1995;N;259
AL;Total;1996;N;272
AL;Total;1997;N;1334
AL;Total;1998;N;660
AL;Total;1999;N;532
AL;Total;2000;N;131
AL;Total;2001;N;220
AL;Total;2002;N;216
AL;Total;2003;N;166
AL;Total;2004;N;131
AL;Total;2005;N;154
AL;Total;2006;N;95
AL;Total;2007;N;105
AL;Total;2008;N;93
AL;Total;2009;N;85
AL;Total;2010;N;127
AL;Total;2011;N;142
AL;Total;2012;N;157
AL;Total;2013;N;124
AL;Total;2014;N;117
AL;Total;2015;N;64
AL;Total;2016;N;79
AL;Total;2017;N;58
AL;Total;2018;N;66
AL;Total;2019;N;65
AL;Total;2020;N;61
AD;Total;2004;N;1
AD;Total;2007;N;0
AD;Total;2008;N;1
AD;Total;2009;N;0
AD;Total;2010;N;0
AD;Total;2011;N;1
AD;Total;2012;N;0
AD;Total;2013;N;0
AD;Total;2014;N;0
AD;Total;2015;N;0
AD;Total;2020;N;2
AE;Total;2010;N;67
AE;Total;2011;N;51
AE;Total;2012;N;69
AE;Total;2013;N;57
AE;Total;2014;N;61
AE;Total;2015;N;60
AE;Total;2019;N;64
AR;Total;2001;N;3129
AR;Total;2002;N;3570
AR;Total;2003;N;2967
AR;Total;2004;N;2338
AR;Total;2005;N;2198
AR;Total;2006;N;2111
AR;Total;2007;N;2139
AR;Total;2008;N;2371
AR;Total;2009;N;2642
