"offense","offender_gender","victim_agegroup","offender_agegroup","count"
"0","F","0","0","8"
"0","F","0","1","73"
"0","F","0","2","128"
"0","F","0","3","217"
"0","F","0","4","817"
"0","F","0","5","848"
"0","F","0","6","547"
"0","F","0","7","314"
"0","F","0","8","148"
"0","F","0","9","115"
"0","F","0","10","84"
"0","F","0","11","79"
"0","F","0","12","46"
"0","F","0","13","31"
"0","F","0","14","8"
"0","F","0","15","4"
"0","F","0","16","1"
"0","F","0","17","2"
"0","F","1","0","4"
"0","F","1","1","267"
"0","F","1","2","445"
"0","F","1","3","215"
"0","F","1","4","333"
"0","F","1","5","919"
"0","F","1","6","890"
"0","F","1","7","532"
"0","F","1","8","281"
"0","F","1","9","151"
"0","F","1","10","125"
"0","F","1","11","120"
"0","F","1","12","91"
"0","F","1","13","36"
"0","F","1","14","31"
"0","F","1","15","11"
"0","F","1","16","5"
"0","F","2","0","4"
"0","F","2","1","69"
"0","F","2","2","5680"
"0","F","2","3","2641"
"0","F","2","4","571"
"0","F","2","5","754"
"0","F","2","6","1836"
"0","F","2","7","1592"
"0","F","2","8","915"
"0","F","2","9","485"
"0","F","2","10","330"
"0","F","2","11","226"
"0","F","2","12","150"
"0","F","2","13","90"
"0","F","2","14","43"
"0","F","2","15","10"
"0","F","2","16","1"
"0","F","2","17","1"
"0","F","3","1","17"
"0","F","3","2","1829"
"0","F","3","3","15317"
"0","F","3","4","4630"
"0","F","3","5","2096"
"0","F","3","6","2016"
"0","F","3","7","3328"
"0","F","3","8","2291"
"0","F","3","9","1292"
"0","F","3","10","758"
"0","F","3","11","517"
"0","F","3","12","257"
"0","F","3","13","121"
"0","F","3","14","46"
"0","F","3","15","27"
"0","F","3","16","13"
"0","F","3","17","7"
"0","F","3","19","2"
"0","F","4","0","5"
"0","F","4","1","14"
"0","F","4","2","463"
"0","F","4","3","4424"
"0","F","4","4","20678"
"0","F","4","5","6174"
"0","F","4","6","2968"
"0","F","4","7","2216"
"0","F","4","8","2363"
"0","F","4","9","1634"
"0","F","4","10","1066"
"0","F","4","11","692"
"0","F","4","12","360"
"0","F","4","13","167"
"0","F","4","14","93"
"0","F","4","15","35"
"0","F","4","16","26"
"0","F","4","17","8"
"0","F","4","18","1"
"0","F","4","19","1"
"0","F","5","0","9"
"0","F","5","1","28"
"0","F","5","2","629"
"0","F","5","3","2167"
"0","F","5","4","5774"
"0","F","5","5","18396"
"0","F","5","6","4711"
"0","F","5","7","2434"
"0","F","5","8","1699"
"0","F","5","9","1652"
"0","F","5","10","1219"
"0","F","5","11","835"
"0","F","5","12","437"
"0","F","5","13","199"
"0","F","5","14","83"
"0","F","5","15","51"
"0","F","5","16","24"
"0","F","5","17","5"
"0","F","5","18","4"
"0","F","5","19","1"
"0","F","6","0","5"
"0","F","6","1","25"
"0","F","6","2","1532"
"0","F","6","3","2382"
"0","F","6","4","3036"
"0","F","6","5","5014"
"0","F","6","6","14701"
"0","F","6","7","3177"
"0","F","6","8","1694"
"0","F","6","9","1110"
"0","F","6","10","1164"
"0","F","6","11","950"
"0","F","6","12","473"
"0","F","6","13","213"
"0","F","6","14","93"
"0","F","6","15","57"
"0","F","6","16","22"
"0","F","6","17","5"
"0","F","6","18","2"
"0","F","7","0","3"
"0","F","7","1","32"
"0","F","7","2","1642"
"0","F","7","3","4159"
"0","F","7","4","2390"
"0","F","7","5","2636"
"0","F","7","6","3359"
"0","F","7","7","10744"
"0","F","7","8","1797"
"0","F","7","9","971"
"0","F","7","10","760"
"0","F","7","11","804"
"0","F","7","12","459"
"0","F","7","13","197"
"0","F","7","14","76"
"0","F","7","15","63"
"0","F","7","16","18"
"0","F","7","17","8"
"0","F","7","18","2"
"0","F","7","19","3"
"0","F","8","0","3"
"0","F","8","1","24"
"0","F","8","2","980"
"0","F","8","3","3174"
"0","F","8","4","2849"
"0","F","8","5","1996"
"0","F","8","6","1933"
"0","F","8","7","1814"
"0","F","8","8","7297"
"0","F","8","9","1019"
"0","F","8","10","677"
"0","F","8","11","509"
"0","F","8","12","415"
"0","F","8","13","203"
"0","F","8","14","101"
"0","F","8","15","38"
"0","F","8","16","18"
"0","F","8","17","5"
"0","F","8","18","1"
"0","F","8","19","1"
"0","F","9","0","4"
"0","F","9","1","20"
"0","F","9","2","712"
"0","F","9","3","2169"
"0","F","9","4","2205"
"0","F","9","5","2289"
"0","F","9","6","1539"
"0","F","9","7","1186"
"0","F","9","8","1093"
"0","F","9","9","5103"
"0","F","9","10","739"
"0","F","9","11","518"
"0","F","9","12","279"
"0","F","9","13","238"
"0","F","9","14","120"
"0","F","9","15","54"
"0","F","9","16","27"
"0","F","9","17","5"
"0","F","9","18","3"
"0","F","10","0","1"
"0","F","10","1","12"
"0","F","10","2","551"
"0","F","10","3","1415"
"0","F","10","4","1652"
"0","F","10","5","2174"
"0","F","10","6","1810"
"0","F","10","7","1064"
"0","F","10","8","760"
"0","F","10","9","749"
