agegroup,offense,race,count
0,0,0,13060
1,0,0,20168
2,0,0,48970
3,0,0,105442
4,0,0,155200
5,0,0,157249
6,0,0,143528
7,0,0,119120
8,0,0,88503
9,0,0,66080
10,0,0,51448
11,0,0,39082
12,0,0,24199
13,0,0,13124
14,0,0,7832
15,0,0,4287
16,0,0,2376
17,0,0,1303
18,0,0,665
19,0,0,196
0,1,1,3508
0,1,2,999
0,1,3,55
0,1,4,33
0,2,1,4110
0,2,2,3273
0,2,3,134
0,2,4,71
0,3,1,44
0,3,2,66
0,3,3,4
0,3,4,1
1,1,1,7168
1,1,2,1898
1,1,3,118
1,1,4,97
1,2,1,5344
1,2,2,3975
1,2,3,132
1,2,4,104
1,3,1,31
1,3,2,42
1,3,3,1
1,3,4,1
2,1,1,16915
2,1,2,4124
2,1,3,272
2,1,4,227
2,2,1,14761
2,2,2,9949
2,2,3,320
2,2,4,234
2,3,1,30
2,3,2,40
3,1,1,18831
3,1,2,4440
3,1,3,290
3,1,4,304
3,2,1,44231
3,2,2,32474
3,2,3,961
3,2,4,694
3,3,1,146
3,3,2,188
3,3,3,2
3,3,4,5
4,1,1,8037
4,1,2,2280
4,1,3,128
4,1,4,159
4,2,1,76395
4,2,2,61357
4,2,3,1552
4,2,4,1316
4,3,1,223
4,3,2,247
4,3,3,7
4,3,4,9
5,1,1,5595
5,1,2,1808
5,1,3,126
5,1,4,117
5,2,1,81309
5,2,2,60983
5,2,3,1954
5,2,4,1386
5,3,1,204
5,3,2,254
5,3,3,12
5,3,4,2
6,1,1,4693
6,1,2,1263
6,1,3,125
6,1,4,92
6,2,1,81719
6,2,2,48643
6,2,3,1973
6,2,4,1470
6,3,1,197
6,3,2,182
6,3,3,4
6,3,4,5
7,1,1,3736
7,1,2,844
7,1,3,90
7,1,4,69
7,2,1,73571
7,2,2,35060
7,2,3,1600
7,2,4,1287
7,3,1,186
7,3,2,160
7,3,3,6
7,3,4,5
8,1,1,2651
8,1,2,647
8,1,3,61
8,1,4,40
8,2,1,55774
8,2,2,25016
8,2,3,1168
8,2,4,945
8,3,1,165
8,3,2,118
8,3,3,2
8,3,4,2
9,1,1,1881
9,1,2,440
9,1,3,50
9,1,4,34
9,2,1,42780
9,2,2,17538
9,2,3,806
9,2,4,896
9,3,1,139
9,3,2,83
9,3,3,2
9,3,4,4
10,1,1,1445
10,1,2,346
10,1,3,36
10,1,4,28
10,2,1,33098
10,2,2,13940
10,2,3,605
10,2,4,583
10,3,1,111
10,3,2,92
10,3,3,3
10,3,4,2
11,1,1,1023
11,1,2,229
11,1,3,24
11,1,4,14
11,2,1,25253
11,2,2,10747
11,2,3,412
11,2,4,389
11,3,1,118
11,3,2,45
11,3,3,1
11,3,4,3
12,1,1,573
12,1,2,154
12,1,3,10
12,1,4,4
12,2,1,15803
12,2,2,6442
12,2,3,225
12,2,4,302
12,3,1,85
12,3,2,38
12,3,4,6
13,1,1,337
13,1,2,89
13,1,3,2
13,1,4,6
13,2,1,8794
13,2,2,3195
13,2,3,112
13,2,4,200
13,3,1,74
13,3,2,32
14,1,1,258
14,1,2,49
14,1,3,2
14,1,4,1
14,2,1,5427
14,2,2,1665
14,2,3,58
14,2,4,116
14,3,1,46
14,3,2,19
14,3,4,1
15,1,1,167
15,1,2,25
15,1,4,1
15,2,1,3040
15,2,2,797
15,2,3,24
15,2,4,67
15,3,1,44
15,3,2,12
16,1,1,125
16,1,2,9
16,1,3,1
16,2,1,1657
16,2,2,424
16,2,3,19
16,2,4,41
16,3,1,21
16,3,2,5
17,1,1,101
17,1,2,8
17,1,3,1
17,1,4,1
17,2,1,915
17,2,2,190
17,2,3,7
17,2,4,16
17,3,1,8
17,3,2,7
17,3,4,1
18,1,1,90
18,1,2,11
18,1,4,2
18,2,1,399
18,2,2,104
18,2,4,9
18,3,1,9
18,3,2,3
19,1,1,26
19,1,2,1
19,2,1,137
19,2,2,20
19,2,3,1
19,2,4,4
19,3,1,3
0,1,0,5021
0,2,0,8005
0,3,0,120
1,1,0,10129
1,2,0,10096
1,3,0,78
2,1,0,23003
2,2,0,26139
2,3,0,74
3,1,0,25334
3,2,0,80184
3,3,0,349
4,1,0,11099
4,2,0,143994
4,3,0,495
5,1,0,7982
5,2,0,149138
5,3,0,475
6,1,0,6423
6,2,0,136975
6,3,0,399
7,1,0,4905
7,2,0,114104
7,3,0,366
8,1,0,3520
8,2,0,84867
8,3,0,291
9,1,0,2520
9,2,0,63441
9,3,0,238
10,1,0,1969
10,2,0,49370
10,3,0,210
11,1,0,1356
11,2,0,37618
11,3,0,174
12,1,0,772
12,2,0,23340
12,3,0,132
13,1,0,448
13,2,0,12596
13,3,0,109
14,1,0,329
14,2,0,7458
14,3,0,68
15,1,0,201
15,2,0,4049
15,3,0,56
16,1,0,145
16,2,0,2210
16,3,0,26
17,1,0,122
17,2,0,1171
17,3,0,16
18,1,0,105
18,2,0,550
18,3,0,12
19,1,0,27
19,2,0,167
19,3,0,3
0,0,1,7614
0,0,2,4304
0,0,3,193
0,0,4,105
1,0,1,12465
1,0,2,5870
1,0,3,248
1,0,4,202
2,0,1,31546
2,0,2,14042
2,0,3,588
2,0,4,457
3,0,1,62950
3,0,2,36954
3,0,3,1247
3,0,4,998
4,0,1,84443
4,0,2,63728
4,0,3,1683
4,0,4,1472
5,0,1,86937
5,0,2,62881
5,0,3,2087
5,0,4,1502
6,0,1,86452
6,0,2,49988
6,0,3,2097
6,0,4,1563
7,0,1,77343
7,0,2,35971
7,0,3,1690
7,0,4,1359
8,0,1,58481
8,0,2,25721
8,0,3,1230
8,0,4,986
9,0,1,44732
9,0,2,18016
9,0,3,857
9,0,4,933
10,0,1,34597
10,0,2,14339
10,0,3,644
10,0,4,612
11,0,1,26349
11,0,2,11007
11,0,3,436
11,0,4,405
12,0,1,16430
12,0,2,6621
12,0,3,235
12,0,4,311
13,0,1,9184
13,0,2,3308
13,0,3,114
13,0,4,206
14,0,1,5717
14,0,2,1724
14,0,3,60
14,0,4,118
15,0,1,3239
15,0,2,827
15,0,3,24
15,0,4,68
16,0,1,1799
16,0,2,437
16,0,3,20
16,0,4,41
17,0,1,1020
17,0,2,203
17,0,3,8
17,0,4,18
18,0,1,497
18,0,2,117
18,0,4,11
19,0,1,165
19,0,2,21
19,0,3,1
19,0,4,4
