offense,offender_gender,victim_race,offender_race,count
0,F,0,0,2631
0,F,0,1,2932
0,F,0,2,1353
0,F,0,3,188
0,F,0,4,108
0,F,1,0,3820
0,F,1,1,122810
0,F,1,2,20812
0,F,1,3,1295
0,F,1,4,703
0,F,2,0,1398
0,F,2,1,9052
0,F,2,2,80097
0,F,2,3,167
0,F,2,4,245
0,F,3,0,147
0,F,3,1,648
0,F,3,2,225
0,F,3,3,2286
0,F,3,4,22
0,F,4,0,100
0,F,4,1,640
0,F,4,2,497
0,F,4,3,26
0,F,4,4,1211
0,M,0,0,5891
0,M,0,1,10831
0,M,0,2,4578
0,M,0,3,477
0,M,0,4,392
0,M,1,0,13098
0,M,1,1,391133
0,M,1,2,78585
0,M,1,3,3347
0,M,1,4,2894
0,M,2,0,3336
0,M,2,1,18599
0,M,2,2,219450
0,M,2,3,288
0,M,2,4,564
0,M,3,0,491
0,M,3,1,3019
0,M,3,2,1112
0,M,3,3,5249
0,M,3,4,101
0,M,4,0,345
0,M,4,1,3026
0,M,4,2,1435
0,M,4,3,72
0,M,4,4,3735
1,F,0,0,154
1,F,0,1,148
1,F,0,2,31
1,F,0,3,4
1,F,0,4,3
1,F,1,0,235
1,F,1,1,2607
1,F,1,2,245
1,F,1,3,19
1,F,1,4,20
1,F,2,0,52
1,F,2,1,168
1,F,2,2,660
1,F,2,3,3
1,F,2,4,5
1,F,3,0,7
1,F,3,1,21
1,F,3,2,5
1,F,3,3,40
1,F,3,4,1
1,F,4,0,3
1,F,4,1,8
1,F,4,2,4
1,F,4,4,15
1,M,0,0,1991
1,M,0,1,2546
1,M,0,2,703
1,M,0,3,64
1,M,0,4,89
1,M,1,0,4664
1,M,1,1,52784
1,M,1,2,9100
1,M,1,3,455
1,M,1,4,608
1,M,2,0,1076
1,M,2,1,2403
1,M,2,2,13376
1,M,2,3,33
1,M,2,4,97
1,M,3,0,150
1,M,3,1,443
1,M,3,2,136
1,M,3,3,445
1,M,3,4,19
1,M,4,0,81
1,M,4,1,454
1,M,4,2,172
1,M,4,3,5
1,M,4,4,363
2,F,0,0,2480
2,F,0,1,2789
2,F,0,2,1320
2,F,0,3,183
2,F,0,4,105
2,F,1,0,3585
2,F,1,1,120144
2,F,1,2,20549
2,F,1,3,1275
2,F,1,4,681
2,F,2,0,1346
2,F,2,1,8876
2,F,2,2,79366
2,F,2,3,164
2,F,2,4,240
2,F,3,0,141
2,F,3,1,626
2,F,3,2,220
2,F,3,3,2244
2,F,3,4,21
2,F,4,0,97
2,F,4,1,631
2,F,4,2,491
2,F,4,3,26
2,F,4,4,1197
2,M,0,0,3898
2,M,0,1,8283
2,M,0,2,3871
2,M,0,3,412
2,M,0,4,303
2,M,1,0,8445
2,M,1,1,338096
2,M,1,2,69406
2,M,1,3,2892
2,M,1,4,2288
2,M,2,0,2265
2,M,2,1,16172
2,M,2,2,205704
2,M,2,3,256
2,M,2,4,467
2,M,3,0,343
2,M,3,1,2579
2,M,3,2,975
2,M,3,3,4805
2,M,3,4,83
2,M,4,0,264
2,M,4,1,2567
2,M,4,2,1261
2,M,4,3,66
2,M,4,4,3373
3,F,0,0,3
3,F,0,1,1
3,F,0,2,3
3,F,0,3,1
3,F,1,0,4
3,F,1,1,211
3,F,1,2,41
3,F,1,3,3
3,F,1,4,2
3,F,2,1,16
3,F,2,2,149
3,F,3,1,3
3,F,3,3,6
3,F,4,1,2
3,F,4,2,2
3,F,4,4,2
3,M,0,0,14
3,M,0,1,40
3,M,0,2,20
3,M,0,3,1
3,M,0,4,1
3,M,1,0,33
3,M,1,1,1088
3,M,1,2,353
3,M,1,3,12
3,M,1,4,10
3,M,2,0,16
3,M,2,1,80
3,M,2,2,840
3,M,2,3,1
3,M,2,4,1
3,M,3,1,12
3,M,3,2,5
3,M,3,3,13
3,M,4,0,1
3,M,4,1,17
3,M,4,2,10
3,M,4,3,1
3,M,4,4,9
