offense,offender_gender,weapon,count
2,M,12,484740
2,F,12,171601
1,M,12,49772
2,M,18,43130
2,M,3,25213
2,F,18,19565
2,M,9,19076
2,M,19,15465
2,M,10,13070
2,M,2,10223
2,M,17,8983
2,F,9,8282
2,M,11,7477
1,M,19,6563
2,F,10,5910
2,F,19,5821
2,F,3,5455
2,F,11,3699
1,M,18,2361
1,F,12,2234
2,F,2,2214
2,M,4,1907
2,M,5,1319
2,M,22,1077
3,M,3,798
2,F,17,781
2,M,6,748
1,M,9,716
1,M,3,667
1,M,16,611
3,M,2,518
2,M,15,405
1,F,19,333
2,M,21,282
1,M,2,275
3,M,9,255
3,M,11,233
2,F,4,229
1,M,17,206
1,M,10,203
2,F,22,191
2,M,16,186
2,F,5,165
2,F,6,150
1,F,18,144
2,M,13,143
3,M,12,141
2,F,13,130
3,M,19,127
2,F,16,116
2,M,23,98
2,F,15,95
3,F,3,90
3,M,4,85
3,M,18,77
2,M,14,77
3,F,2,67
3,M,10,65
2,F,21,57
3,F,9,57
3,M,16,52
3,F,11,49
3,F,19,46
3,M,22,45
3,M,5,44
3,F,12,41
1,F,16,35
3,M,17,34
1,M,22,30
3,F,16,30
1,F,10,30
1,M,6,29
2,M,25,25
3,F,18,23
1,M,4,22
1,F,9,20
3,M,15,20
2,F,14,19
2,M,24,16
2,F,23,15
1,M,5,15
1,F,2,14
1,F,3,14
3,M,21,14
1,M,13,13
3,F,10,13
1,M,21,12
1,M,11,11
3,M,6,10
3,F,17,8
3,F,22,7
2,F,24,5
1,M,15,5
1,F,17,4
3,F,4,4
2,F,25,4
3,F,15,3
1,M,23,2
3,F,5,2
3,F,6,2
3,F,13,1
1,F,4,1
1,F,5,1
1,F,6,1
1,F,22,1
3,M,23,1
1,M,25,1
1,F,23,1
1,M,14,1
3,M,25,1
3,F,21,1
3,M,13,1
1,F,13,1
1,F,15,1
